REF;SENSOR MODELS;SENSOR SERIALS;SENSOR HEIGHTS;CSV SENSORS
6100278_014;SEDIMENT:TECHNICAP-PPS5;;-110;
6100278_014;SEABIRD_SBE37_SM;5057;-200;
6100278_014;ADCP_RDI_150kHz;8116;-300;
6100278_014;NKE_SP2T;10598;-325;
6100278_014;SEABIRD_SBE37_SMP_ODO;4515;-525;
6100278_014;NKE_SP2T;13121;-736;
6100278_014;SEABIRD_SBE37_SM;4513;-900;
6100278_014;SEABIRD_SBE37_SMP_ODO;4514;-1000;
6100278_014;NKE_SP2T;;-1150;
6100278_014;SEABIRD_SBE37_SM;10599;-1164;
6100278_014;TECHNICAP_PPS5;1230;-1170;
6100278_014; SEABIRD_SBE37_SMP_ODO;;0;
6100278_014;AANDERAA_SEAGUARD_IW_RCM;;0;
6100278_015;TECHNICAP_PPS5;;-110;
6100278_015;NKE_SP2T;34101;-200;
6100278_015;ADCP_RDI_150kHz;20370;-300;
6100278_015;SEABIRD_SBE16+;6274;-325;
6100278_015;SEABIRD_SBE37_SM;4515;-525;
6100278_015;SEABIRD_SBE37_SMP_ODO;13121;-736;
6100278_015;SEABIRD_SBE37_SM;4513;-900;
6100278_015;SEABIRD_SBE37_SM;4514;-1000;
6100278_015; TECHNICAP_PPS5;;-1150;
6100278_015; SEABIRD_SBE37_SMP_ODO;10599;-1164;
6100278_015;AANDERAA_SEAGUARD_IW_RCM;1230;-1170;
6100278_016;NKE_WiSensTD_1000;5246;-80;
6100278_016;TECHNICAP_PPS3;;-100;
6100278_016;SEABIRD_SBE37_SM;9974;-170;
6100278_016;NKE_WiSensTD_1000; 4E7F;-170;
6100278_016;ADCP_RDI_150kHz;8116;-300;
6100278_016;NORTEK_SIGNATURE_55;45311-1-1106;-320;
6100278_016;SEABIRD_SBE37_SMP_ODO;10597;-350;
6100278_016;NKE_WiSensTD_1000;5248;-550;
6100278_016;SEABIRD_SBE37_SM;4513;-750;
6100278_016;NKE_WiSensTD_1000;4E80;-750;
6100278_016;NKE_WiSensTD_1000;5244;-900;
6100278_016;SEABIRD_SBE37_SM;4593;-1000;
6100278_016; TECHNICAP_PPS3;;-1150;
6100278_016;SEABIRD_SBE37_SMP_ODO;13121;-1160;
6100278_016;AANDERAA_SEAGUARD_IW_RCM;2359;-1165;
