PTF FAMILY,PTF TYPE,PTF MODEL,AGENCY
Animal Borne Sensor,MEOP-CTD,Crabeater seal,
Animal Borne Sensor,MEOP-CTD,CTD-SRDL,
Animal Borne Sensor,MEOP-CTD,TEST,
Atmospheric Profiler,ASAP,OT ASAP,
Atmospheric Profiler,ASAP DIS,DIS - Built-in semi automatic launcher,
Atmospheric Profiler,ASAP DIS,DIS - Fixed manual deck launcher,
Atmospheric Profiler,ASAP DIS,DIS - Free hand launches,
Atmospheric Profiler,ASAP DIS,DIS - Generic,
Atmospheric Profiler,ASAP DIS,DIS - Portable manual deck launcher,
Atmospheric Profiler,ASAP DIS,DIS - Semi automatic 10ft container launcher,
Atmospheric Profiler,ASAP DIS,DIS - Semi automatic 20ft container launcher,
Atmospheric Profiler,ASAP INT,INT - Built-in semi automatic launcher,
Atmospheric Profiler,ASAP INT,INT - Fixed manual deck launcher,
Atmospheric Profiler,ASAP INT,INT - Portable manual deck launcher,
Atmospheric Profiler,ASAP INT,INT - Semi automatic 10ft container launcher,
Atmospheric Profiler,ASAP INT,INT - Semi automatic 20ft container launcher,
Drifting Buoy,DAVIS,DAVIS_METOCEAN,Fisheries and Oceans Canada
Drifting Buoy,DB CARBON,DB CARBON,
Drifting Buoy,DB POLLUTION,Pollution Tracker,
Drifting Buoy,DB SHALLOW,SHALDRIFT,
Drifting Buoy,DWS,DWS,
Drifting Buoy,DWS,DWS-B,
Drifting Buoy,ECHNOC,ECHNOC,
Drifting Buoy,SVP,ADOS,
Drifting Buoy,SVP,ADOS_HR,
Drifting Buoy,SVP,ADOS_SAL,
Drifting Buoy,SVP,MiniMet,
Drifting Buoy,SVP,SC40,NKE Instrumentation
Drifting Buoy,SVP,SOFAR,
Drifting Buoy,SVP,Spot tracer,
Drifting Buoy,SVP,SVP,
Drifting Buoy,SVP,SVP B,Scripps Institution of Oceanography 
Drifting Buoy,SVP,SVP B DBi,
Drifting Buoy,SVP,SVP B MetOcean,
Drifting Buoy,SVP,SVP B Pacific Gyre,
Drifting Buoy,SVP,SVP B SIO,
Drifting Buoy,SVP,SVP BW,
Drifting Buoy,SVP,SVP Clearwater,Clearwater Instrumentation
Drifting Buoy,SVP,SVP DBi,"Data Buoy Instrumentation, LLC"
Drifting Buoy,SVP,SVP JVC-KENWOOD,
Drifting Buoy,SVP,SVP Marlin-Yug,MARLIN-YUG
Drifting Buoy,SVP,SVP MetOcean,METOCEAN Data Systems
Drifting Buoy,SVP,SVP Pacific Gyre,Pacific Gyre
Drifting Buoy,SVP,SVP SIO,Scripps Institution of Oceanography 
Drifting Buoy,SVP,SVP Technocean,"Technocean, Inc."
Drifting Buoy,SVP,SVP_BRST,NKE Instrumentation
Drifting Buoy,SVP,SVPBSC NKE,
Drifting Buoy,SVP,SVPBx MetOcean,
Drifting Buoy,SVP,SVP_CICESE_MX,
Drifting Buoy,SVP,SVP_GDC,
Drifting Buoy,SVP,SVP_INPE,
Drifting Buoy,SVP,SVP_KORDI,
Drifting Buoy,SVP,SVP_NEURON_ELECTRONICS,
Drifting Buoy,SVP,SVP_NIO_RA,
Drifting Buoy,SVP,SVP-S,
Drifting Buoy,SVP,SVP_SEIMAC,
Drifting Buoy,SVP,SVP_SERPE_IESM,
Drifting Buoy,SVP,SVP_TOYOCOM,
Drifting Buoy,SVP,SVP_TURO_TECH,
Fishing Vessel Probes,Fixed Fishing Vessels Probes,Longline Probes,
Fishing Vessel Probes,Fixed Fishing Vessels Probes,Set Gillnet/Fyke Net Probes,
Fishing Vessel Probes,Fixed Fishing Vessels Probes,Traps/Pots Probes,
Fishing Vessel Probes,Mobile Fishing Vessel Probes,Beam Trawler Probes,
Fishing Vessel Probes,Mobile Fishing Vessel Probes,Bottom Trawler Probes,
Fishing Vessel Probes,Mobile Fishing Vessel Probes,Dredge Probes,
Fishing Vessel Probes,Mobile Fishing Vessel Probes,Trolling Probes,
Fixed Station,Fixed Station,CB-450,NexSens Technology
Fixed Station,Fixed Station,CMAN,
Fixed Station,Fixed Station,Light vessel,
Fixed Station,Fixed Station,Oil and Gas platforms,
Fixed Station,Fixed Station,Other Fixed Platform,
Fixed Station,HF Radar,CODAR,CODAR Ocean Sensors Ltd
Fixed Station,HF Radar,GENERIC HF Radar,
Fixed Station,HF Radar,LERA,
Fixed Station,HF Radar,SeaSonde,
Fixed Station,HF Radar,WERA,
Fixed Station,Tide Gauge,Tide Gauge,
Ice Buoy,Ice Buoy,AXIB,
Ice Buoy,Ice Buoy,CALIB,
Ice Buoy,Ice Buoy,ICE BALL,
Ice Buoy,Ice Buoy,ICE BEACON,
Ice Buoy,Ice Buoy,ICE CANISTER,
Ice Buoy,Ice Buoy,ICE PLATFORM,
Ice Buoy,Ice Buoy,ICE TETHERED PROFILE,
Ice Buoy,Ice Buoy,ICE TRACKER,
Ice Buoy,Ice Buoy,ICE TRACKER WITH BAROMETRIC PRESSURE,
Ice Buoy,Ice Buoy,ICEPELICAN,
Ice Buoy,Ice Buoy,iceST-B/40,
Ice Buoy,Ice Buoy,iceST-B/41,
Ice Buoy,Ice Buoy,ICEX,
Ice Buoy,Ice Buoy,IMB,
Ice Buoy,Ice Buoy,JCAD,
Ice Buoy,Ice Buoy,O-Buoy,
Ice Buoy,Ice Buoy,Other Ice Buoy,
Ice Buoy,Ice Buoy,PAWS,
Ice Buoy,Ice Buoy,POLAR SVP,
Ice Buoy,Ice Buoy,POPs,
Ice Buoy,Ice Buoy,SIDEKICK,
Ice Buoy,Ice Buoy,SIMB,
Ice Buoy,Ice Buoy,SNOW BUOY,
Ice Buoy,Ice Buoy,UNIVERSAL TRACKER,
Ice Buoy,Ice Buoy,UpTempO,
Ice Buoy,SPOT POLAR ICE TRACKER,Spot Polar Ice Tracker,
Moored Buoy,Meteorological Moored Buoy,Discus-10,
Moored Buoy,Meteorological Moored Buoy,Discus-3,
