"pub47"|"make"|"model"|"type"|"serial_number"|"parameter"|"reference"
" CO. VIKING"|"IVER C. WEILBACH & CO"|"VIKING"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"(MOG) VAISALA PTB220B"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"(MOG) Vaisala PTB220B"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"2207 SH LUFFT"|"LUFFT"|"2207 SH"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"25"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"32"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"AGR"|"AGR"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"AIRFLO"|"US GOVERNEMENT"|"AIRFLO"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"AN"|"UNKNOWN"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"ANALOG"|"UNKNOWN"|"UNKNOWN"|"ANALOG"|"UNKNOWN"|"SLP"|"NA"
"ANERIOD"|"UNKNOWN"|"UNKNOWN"|"ANEROID"|"UNKNOWN"|"SLP"|"NA"
"ANEROID / 9-A"|"UNKNOWN"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"ANEROID BAR"|"UNKNOWN"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"ANEROID BAROMETER"|"UNKNOWN"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"ANEROID"|"UNKNOWN"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"AQUATECH DBX-1"|"AQUATECH SCIENTIFIC INSTRUMENT"|"DBX1"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"AQUATECH SCIENTIFIC INSTRUMENTS/DBX001 "|"AQUATECH SCIENTIFIC INSTRUMENT"|"DBX1"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"ARGO NAVIS"|"ARGO NAVIS"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"ASI Digital DBX1"|"AQUATECH SCIENTIFIC INSTRUMENT"|"DBX1"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"ASI PRECISION DIGITAL BAROGRAPH DBX1"|"AQUATECH SCIENTIFIC INSTRUMENT"|"DBX1"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"ASI"|"AQUATECH SCIENTIFIC INSTRUMENT"|"DBX1"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Airflo"|"US GOVERNEMENT"|"AIRFLO"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Analog"|"UNKNOWN"|"UNKNOWN"|"ANALOG"|"UNKNOWN"|"SLP"|"NA"
